"portal","kandydat","data","nr","artykul"
"interia","duda","2015-03-16 20:26:00",1,"bronislaw komorowski  liczyæ  46procentowe poparcie   g³ówny rywal kandydat pis  prezydent andrzej duda  31 procent g³osów  wynika  najnowszego sonda¿u prezydenckie przeprowadzonego  millward brown  faktów tvn  trzecim miejscu znalaz³  pawe³ kukiz    g³osowaæ 5 procent ankietowanych tu¿   uplasowali  magdalena ogorek janusz korwin  janusz palikot  trójka  liczyæ  4procentowe kandydat polska stronnictwa ludowego adam jarubas wanda nowicka  kowalski uzyskali 1procentowe poparcie  s³abo wypad³a grodzka obecnie cieszy   zerowym poparciem 2 proc ankietowanych     kogo odda  g³osz sonda¿u przeprowadzonego  millward brown wynika  odby³aby  druga tura wybory prezydenckie wktórej zmierzyliby  bronislaw komorowski  andrzej duda szacowana frekwencja wynios³aby 60 procentsonda¿  faktów tvn  zrealizowany  millward brown wdniu 16 marca br  polska reprezentatywnej próbie tysi¹ca pe³noletnich osób"
"interia","duda","2015-03-17 13:12:00",1,"tygodnik tomasza lisa wyci¹gn¹³  ¿yciorysu andrzej duda epizod  unii wolnoœci sugeruj¹c   polityczne sympatie kandydat pis  prezydent móg³  wp³yw teœæ  pochodzenia ¿yd zdaniem  newsweek posun¹³    prezes pis jaros³aw kaczynski zarzuca tygodnikowi newsweek atakowanie andrzej duda  dodaje  przypomina   1968 rok czytaj  neesweek wpublikacji duda gracz poda³  kandydat prawa isprawiedliwoœci  prezydent polska kilkanaœcie   dzia³a³ wunii wolnoœci aepizod   usuniêty zjego ¿yciorysu wg tygodnika andrzej duda  w2002  op³aciæ sk³adki cz³onkowskie wunii wolnoœci  s¹dzisz opublikacji  temat andrzej duda wypowiedz  woficjalnej biografii duda czytamy   aktywnoœæ polityczna rozpoczê³a  w2006   rozpocz¹³ pracê wklubie parlamentarnym pisdlaczego akurat unia wolnoœci czy¿by wp³yw  ówczesne polityczne wybory andrzej duda   teœæ znany poeta ikrytyk literacki prof julian kornhauser w1994r duda o¿eni³  zjego córk¹ agata julian kornhauser zpochodzenia ¿yd wjednym   wierszy rozlicza³  polacy bior¹cymi udzia³ wpogromie kieleckim    okrzykniêty polacy  pisa³ newsweek publikacja spotka³a  zmocn¹ krytyk¹    strony prezesa pis jaros³awa kaczynski    dziennikarzy  twitterze pojawi³o   wpisów potêpiaj¹cych informacje  temat teœcia duda uwa¿am   fragment  teœciu andrzej duda  red  obrzydliwy  pisa³ wojciech szacki zpolityki zkolei micha³ majewski ztygodnika wprost komentowa³     organiczna nienawiœæ  tomasza lisa spotka ostracyzm  granie  antysemickich nastrojach  pyta³ robert mazurek ztygodnika wsieci sprawê skomentowa³  ludwik dorn     lustracja teœciów  kryteriów ustaw norymberskich  praktyki tygodnika  tomasza lisa powinny  spotkaæ siêzezdecydowan¹reakcj¹  napisa³   blogu "
"interia","duda","2015-03-18 21:15:00",1," zwi¹zku  zamachem  tunisie prezydent bronislaw komorowski  kandydat pis andrzej duda podjêli decyzjê  zawieszeniu dzia³añ kampania   prawdopodobnie zginêli  polacy  œrodê dosz³o wtunisie  zamachu terrorystycznego  s³ynne tamtejsze muzeum narodowe bardo  turystów zwiedzaj¹cych muzeum  36 polacy  wci¹¿ nieoficjalnych informacji podanych wœrodê  rzecznika msz marcina wojciechowskiego  zabitych   czterech obywateli rp szef sztabu wybory bronislaw komorowski robert tyszkiewicz  poinformowa³ wœrodê  twitterze   zwi¹zku ztragicznymi wydarzeniami wtunezji odwo³ane zostaj¹ czwartkowe dzia³ania kampania prezydent kampania zawiesza  duda  zwi¹zku zinformacjami  wdzisiejszym zamachu terrorystycznym prawdopodobnie zginêli polacy odwo³ujemy  zaplanowane  jutro spotkania kampania   wœrodê  po³udniu pap zastêpca rzecznika pis krzysztof ³apiñski  zawieszeniu kampania andrzej duda poinformowa³a   twitterze  szefowa beata szyd³o   ostatnie  œrodowych spotkañ duda  wzawierciu woj œl¹skie zosta³o skrócone rozpoczê³o  minut¹ ciszy  ofiar zamachu kandydat przekaza³  wyrazy wspó³czucia   bliskichinformacjê ozawieszeniu kampania opublikowa³   twitterze kandydat psl  prezydent adam jarubas"
"interia","duda","2015-03-20 18:15:00",1,"polska  odchodzi  wêgla  bezpieczeñstwo energetyczne    oparte  powiedzia³a  brukseli premier ewa kopacz pojêcie dekarbonizacja zastosowane  konkluzjach szczytu ue dotyczy ograniczania emitowania dwutlenku wêgla  powietrza  wyjaœni³apostulowana  radê europejsk¹ dekarbonizacja europejskiej gospodarki  niszcz¹ca  polska  œl¹ska  oœwiadczy³  katowicach kandydat pis  urz¹d prezydent rp andrzej duda czytaj  kopacz  spotkaniu szefów pañstw irz¹dów ue  pytana ozarzuty kandydat pis  urz¹d prezydent andrzej duda  postulowana  radê europejsk¹ dekarbonizacja europejskiej gospodarki  niszcz¹ca  polska polska œl¹ska przywódcy unijni podkreœlili  maj¹ca powstaæ unia energetyczna   opieraæ  piêciu filarach bezpieczeñstwie energetycznym solidarnoœci izaufaniu wpe³ni zintegrowanym europejskim rynku energetycznym efektywnoœci energetycznej przyczyniaj¹cej   obni¿enia zapotrzebowania  energiê dekarbonizacji gospodarki   badaniach innowacyjnoœci ikonkurencyjnoœcikopacz t³umaczy duda  oznacza dekarbonizacja  znaæ znaczenie s³ów   zawarte wkonkluzji poleca³abym zciep³¹ sympati¹ kierowan¹   duda  przeczyta³ ca³e konkluzje  powiedzia³a kopacz powo³a³a   fragmenty konkluzji dotycz¹ce unii energetycznej    mówimy  kraje  prawo   suwerennego koszyka energetycznego ma³o  kraje unii europejskiej  prawo   korzystania   zasobów naturalnych s³owo dekarbonizacja wtym¿e pojêciu  zosta³o zastosowane wkonkluzjach dotyczy ograniczania emitowania dwutlenku wêgla  powietrza  podkreœli³a zaznaczy³a  polska bezpieczeñstwo energetyczne  oparte  wêglu    sztuk¹ zdobywanie pieniêdzy     polska wêgiel igospodarka oparta  polska wêglu  najmniej emitowa³a dwutlenku wêgla ajak  robiæ poprzez innowacyjne nowoczesne metody  wnaszych blokach energetycznych  unijne pieni¹dze   stosujemy   odchodzimy  wêgla  powiedzia³a    pomagaj¹   zdobywaj¹ pieni¹dze  innowacyjnoœæ  zamykaj¹c drogi polska zasobom naturalnym    budowaæ  bezpieczeñstwo energetyczne    je¿d¿¹  œl¹sku ikrzycz¹ chyba   raz pierwszy cz³owiek  ubiega  ostanowisko prezydent wnaszym kraju   rozumie znaczenia s³ów  u¿ywa s³ów  nieczystej walki politycznej  podkreœli³a kopacz"
"interia","duda","2015-03-21 18:15:00",1," debata  temat wejœcia  strefy euro  odwróciæ uwagê polacy  wojny  ukrainie  zagro¿enia terroryzmem znacz¹co wp³ywaj¹c  wybory sonda¿e  obaw rodaków zwi¹zanych przyjêciem eurowaluty  deklaracji bronislaw komorowski   sprawie odniós³   sobotê andrzej duda   sztab kandydat pis    zanadrzu jakiegoœ haka   widzê szans  debatê  euro uda³o  przekuæ  sonda¿owy sukces  uwa¿a ekspert  marketingu politycznego dr hab norbert maliszewski polacy  poznaæ zdanie prezydent bronislaw komorowski  sprawie przyst¹pienia polska  strefy euro  ocenia kandydat pis  prezydent andrzej duda pyta³   prezydent    temat rozmawia³  wizyty  brukseli  andrzej duda  sobotniej konferencji prasowej  siedzib¹ narodowego banku polska przypomnia³  prezydent  pocz¹tku kadencji przygotowa³ projekt zmiany konstytucji umo¿liwiaj¹cy wprowadzenie eurowaluty przywo³a³  wypowiedŸ sprzed  doradcy prezydent prof romana kuŸniara   realny termin wejœcia polska  unii walutowej uzna³ pocz¹tek przysz³ego   rozpoczynaj¹cej  wsobotê dwudniowej wizyty wstolicy belgii prezydent bronislaw komorowski wyg³osi przemówienie  brussels forum corocznym spotkaniu wp³ywowych przedstawicieli œwiata polityki gospodarki ielit intelektualnych europy iameryki pó³nocnej  budynkiem nbp andrzej duda pyta³    prezydent zamierza rozmawiaæ wbrukseli  temat  najszybszego wprowadzenia waluty euro polska   rzeczywiœcie    1 stycznia 2016  zamierza wprowadziæ polska  strefy euro polacy  uzyskaæ odpowiedŸ   temat kandydat prawa isprawiedliwoœci  prezydent     zostanie wybrany   zgodzi   przyjêcie eurowaluty dopóki polacy   zarabiaæ  europejskim poziomie dariusz jaroñ interia    andrzej duda odwo³uje  kampania wybory  eurodr hab norbert maliszewski uniwersytet warszawski andrzej duda stara  wybiec  przodu kampania wostatnich dwóch tygodniach wpad³ wpu³apkê  raportem mniejszoœci opowiedzia³  przeciwko ustawie oin vitro chocia¿ czêœæ  sympatyków popiera tak¹ metodê leczenia   politykiem centrowym tymczasem opowiedzia³   lini¹ prawa isprawiedliwoœci   móg³ wpaœæ wprawy naro¿nik dot¹d szybko zyskiwa³ wsonda¿ach  g³ównie   poparcie wybory pis  liczy  lepszy rezultat    centrowy druga rzecz  kwestia skoków torpeduj¹c ustawê wprowadzaj¹c¹ nadzór   musia³  broniæ ato  sprzyja rozwijaniu ibudowaniu osi kampania  by³yby   korzystnestosunek polacy  euro  staæ  tak¹ osi¹   popatrzmy chocia¿by  badania gfk polonia wiêkszoœæ osób  przeciwna wprowadzeniu euro obawia  negatywnych konsekwencji wpostaci dro¿yzny tworzy  oœ podzia³u zwolennicy iprzeciwnicy euro  polityka wa¿ne     raportem   g³osem  wiêkszoœci  andrzej duda uda³oby  tak¹ oœ narzuciæ by³oby     korzystne pytanie  temat    wywo³ywany sztucznie  sztabowi pis uda  wskazaæ   dzia³ania prezydent  pokazywa³yby  aktywnie stara  obecnie wprowadziæ polska euro  razie   widaæ    przypominanie dzia³añ prezydent sprzed  iwytyczanie w³asnej linii wsprawie euro andrzej duda  przekonany   s³usznoœci wprowadzenia waluty  dopiero  polacy  zarabiali tyle  wynosi œrednia wunii europejskiej  w³aœciwie  wiadomo kiedywojna  ukrainie agresywna polityka w³adimira putina ryzyko zamachów terrorystycznych  otych tematach dyskutuj¹  polacy  eurowaluta  wywo³aæ unas podobne emocje   temat sta³  osi¹ kampania  wynikaæ zbie¿¹cych wydarzeñ  gor¹cych tematów wp³ywaj¹cych  nastroje spo³eczne wzbudzaj¹cych silne emocje mamy wojnê  ukrainie kwestie terroryzmu     tematach nagle wyci¹gn¹æ  zkapelusza iliczyæ  podobne zainteresowanie dodajmy  sztab bronislaw komorowski  miesiêcy sprawy euro  porusza  temat  zatem ch³odny polska  spe³nia kryteriów przyjêcia euro  wesz³a  systemu erm2 wktórym    najmniej  lata   musia³aby usztywniæ kurs walutowy  obecnie   mowy oprzyjêciu euro a2016 rok   terminem nierealnym obawiam    obóz andrzej duda   wzanadrzu bomby zwi¹zanej zeuro jakiegoœ mocnego haka    szans  debatê oeuro uda³o  przekuæ wsonda¿owy sukcesœledŸ profil autora  twitterze"
"interia","duda","2015-03-22 21:32:00",1,"trwa kampania  wybory prezydenckie andrzej duda  adam jarubas odwiedzaj¹ kolejne województwa  komorowski bronislaw komorowski koñcz¹  trasy kandydat pis  prezydent rp zobowi¹za³    walki  zachowanie polska w³asnoœci ziemi  wspierania kandydat psl  prezydent spotka³  zrolnikami wtrzebownisku  podkarpaciu adam jarubas    rolnikami stoj¹ nowe wyzwania wzwi¹zku znegocjowan¹ umow¹ pomiêdzy stanami zjednoczonymi ieurop¹ owolnym handlu    odpowiedzi¹  rosn¹ca rolê chin iindii wgospodarce œwiatowej     umowa niesie    zagro¿eñ wynikaj¹  ztego  gospodarka amerykañska  naturaln¹ przewagê wpostaci ni¿szych cen energii  mo¿liwoœci konkurowania gospodarstw europejskich  podkreœli³ adam jarubas wyrazi³  zaniepokojenie   konkurencja  dobra  polska rolnictwa kandydat ludowców obawia   rolnictwo   staæ ofiar¹ priorytetów innej dziedziny gospodarki   przyk³ad przemys³u    koñca  znane  postêpy wnegocjacjach  zdaniem stany zjednoczone  naciskaæ  wprowadzenie modyfikowanej ¿ywnoœci  rynek europejski polska adam jarubas zapowiedzia³    prowadzi³ kampania agresywnej istosowaæ taktyki haków wodró¿nieniu   kandydat liczy  dwucyfrowe poparcie  sztab zebra³  pó³ miliona podpisy jarubas  umowie  wolnym handlu  usa  ue prezydent  obj¹æ  patronatem tvn24xnews kolejne spotkania andrzej duda andrzej duda drugi dzieñ spotyka  zmieszkañcami województwa podlaskiego swoj¹ dwudniow¹ wizytê kandydat pisu  prezydent rozpocz¹³ wczoraj  bia³egostoku póŸniej odwiedzi³ miejscowoœci  pó³nocy regionu  suwa³ki augustów isejny  odwiedzi³ kolno ³om¿ê drozdowo zambrów wysokie mazowieckie ³apy bielsk podlaski   pierwsza   ostatnia wizyta andrzej duda wtej kampania wybory   pose³ krzysztof jurgiel zostan¹ zorganizowane kolejne spotkania ana rynkach ibazarach rozdawane  ibêd¹ materia³y promocyjne  zapowiada pose³ duda podpisy 10 zobowi¹zañ wobec rolnictwa  wizyty wwysokiem mazowieckiem andrzej duda walczy³ og³osy rolników kandydat pis  prezydent podpisy 10 zobowi¹zañ wobec rolnictwa polityk obieca³  innymi uniemo¿liwienie spekulacyjnego wykupu ziemi  obcokrajowców iwyrównanie dop³at bezpoœrednich  poziomu europejskiego andrzej duda  goœciem obraduj¹cego wwysokiem mazowieckiem pierwszego kongresu rolnictwa iobszarów wiejskich kandydat pis zarzuci³ urzêduj¹cemu prezydent   podj¹³  roli arbitra wsporze rolników zrz¹dem  bêdê  ba³ polska rolników     mieli pretensje ibêd¹ sk³adali ¿¹dania  zapowiada³ andrzej duda przekonuj¹c  prezydent  rozumieæ powagê sytuacji wrolnictwie wwyst¹pieniu polityk pis uzna³ lasy iziemiê   per³y polska koroniea duda chcia³bym  rola prezydent otwartego  sprawy spo³eczne  wreszcie realizowana tvn24xnews zadaniem prezydent   uniemo¿liwienie prób prywatyzowania lasów pañstwowych iobrona polska ziemi rolnej  obcokrajowcami atak¿e tworzenie latyfundiów zktórymi polska gospodarstwa rodzinne   wstanie rywalizowaæ   andrzej duda komorowski zakoñczy³y kurs wgdañsku autokary promuj¹ce bronislaw komorowski kampania prezydenckie koñcz¹ objazdy warmii imazur  województwa pomorskiego komorowski  podró¿owali politycy wregionie zakoñczy³  kurs wgdañsku  t³umaczy³ szef regionalnego sztabu komitetu wybory kandydat  prezydent  wicewojewoda pomorski micha³ owczarczak wsumie komorowski przejecha³  pomorzu blisko 2500 kilometrów   przerwanie kampania  wydarzenia wtunezji uda³oby   odwiedziæ  pomorskie powiaty   owczarczak polityk    pomorski komorowski zebra³  33 tysi¹ce podpisy  kandydat bronislaw komorowski autokaru  warmii imazurach podsumowano wolsztynie  mówili cz³onkowie tamtejszego sztabu wybory bronislaw komorowski dwutygodniowa akcja objazdu komorowski  polska dobiega koñca  przygotowywane   kolejne kampania   d³uga   pewno    wydarzy  mówili politycy  sztabu komorowski zakoñczy³  trasê polska piêædziesi¹t tysiêcy podpisy poparcia  kandydat bronislaw komorowski zebra³a polska platforma obywatelska dzia³acze podsumowali  regionaln¹ trasê komorowski wostatnich dniach odwiedzi³  innymi chodzie¿ konin szamotu³y ipoznañpo jesteœmy nieprzemakalni  skrajnoœcipose³ tomasz nowak isenator filip libicki   wtych miastach zbierali podpisy ubrani wkolorowe ortalionowe kurtki jesteœmy nieprzemakalni  wszelkie skrajnoœci jesteœmy dobr¹ centrow¹ formacj¹  rozumie ilew¹ ipraw¹ stronê  t³umaczyli ¿artuj¹c  ubranie politycy 20 tysiêcy podpisy poparcia  kandydat bronislaw komorowski zebrano  lubelszczyŸnie organizator komitetu wsparcia wregionie obecnego prezydent pose³ mariusz grad poinformowa³  komorowski przejecha³ 5 tysiêcy kilometrów  drogach województwa lubelskiegow sumie  polska podró¿owa³o 17 autokarów zwizerunkiem prezydent bronislaw komorowski prezydenckie odbêd¹  10 maja "
"interia","duda","2015-03-24 14:32:00",1," wojciech szczêsny  najmniejsze szanse  wyst¹piæ  spotkaniu  irlandi¹    bramkarz reprezentacji polska jerzy duda  niedzielnym spotkaniem bia³oczerwonych  eliminacjach euro 2016czy wobec absencji kontuzjowanych ³ukasza piszczka iartura jêdrzejczyka  dochodz¹cego  formy kamila grosickiego mecz zirlandi¹  prawdziwym sprawdzianem  podopiecznych adam nawa³kijerzy duda    zdrowymi tymi zawodnikami  by³by prawdziwy sprawdzian  eliminacje  powa¿nie zaczynaj¹  dopiero  odnosi     grup wtym  naszej   dobrym starcie mamy korzystn¹ pozycjê wyjœciow¹  najlepsz¹ wgrupie  uk³ad kolejnych meczów  dosyæ trudny wola³bym wygraæ  szkocj¹ aprzegraæ zniemcami  odwrotnie bezpoœrednie spotkania zirlandi¹ iszkocj¹    kluczowe podejrzewam  niemcy odbuduj¹ swoj¹ pozycjê ina finiszu eliminacji   zasiêgiem wtej sytuacji pozostanie  walka odrugie miejsce zwyspiarzami trzypunktowa przewaga  niemcami szkocj¹ iirlandi¹ napawa optymizmem   zobaczymy   naprawdê wygl¹da  reprezentacja   zwyciêstwie  niemcami   nieco skonfundowanym wygrana zmistrzami œwiata  wspania³a sprawa  rodzi  pytanie  jesteœmy wstanie potwierdziæ  wdublinie okres wiosenny      trudny  trener adam nawa³ka  spory ból g³owy    odpowiednio pouk³adaæ  chcê mówiæ  mecz zirlandi¹  najwa¿niejszy    jednym zwa¿niejszych spoœród    doprowadziæ nasz¹ dru¿ynê  awansuw kadrze zabraknie  jakuba b³aszczykowskiego    wa¿ny gracz  reprezentacji inie  zniego rezygnowaæ dziwiê    pominiêto    kontuzji  œwie¿y  graæ iwrêcz  nabuzowany energi¹ brakuje   minut  boisku  obecnych kontuzjach móg³  kluczowym zawodnikiem kadryproblemy warsenalu  wojciech szczêsny  wzwi¹zku ztym  zaj¹æ miejsce wbramce reprezentacji    powa¿na sprawa  szczêœcie mamy dwóch  bramkarzy   wstanie zapewniæ odpowiedni poziom wnaszej bramce wwyœmienitej formie  ³ukasz fabiañski zkolei artur boruc   doœwiadczony   nawa³ka zdecyzj¹  czeka³  samego koñca zobaczy     uk³ada³o  treningach    przygl¹da³  ka¿dy znich  przygotowany mentalnie wojtek  najmniejsze szanse  wyst¹piæ wspotkaniu zirlandi¹   miejscu zacz¹³bym   zastanawiaæ    szanse  zaistnieæ warsenalu inie czeka³bym  d³ugo  fabiañski widaæ   arsene wenger zdecydowanie postawi³  davida ospinê wiadomo   klub  arsenal potrzebuje dwóch klasowych bramkarzy   miejscu szczêsnego pomyœla³bym oswojej przysz³oœci obecna sytuacja wklubie    zgubny skutek wreprezentacji   szczêsny czeka  odejœcie wengera    wtym    francuz  przymierzany  as monaco  wyeliminowa³o kanonierów zligi mistrzów    lepiej  iœæ takim torem myœlenia w³aœciciele klubu  ufaj¹ wengerowi  prawda wostatnich latach arsenal  odnosi sukcesów nale¿y  pamiêtaæ   klub s³ynie zpromowania m³odych zawodników   ostatnio dosz³o  przesadnej inwestycji pozyskuj¹c mesuta oezila wenger post¹pi³ wtym przypadku przeciwko w³asnej wizji budowy zespo³u    korzyœæ przemawia fakt  szuka istawia  m³odych pi³karzy11   zagra³  przeciwko irlandii wmeczu towarzyskim wbydgoszczy  zapad³o panu wpamiêci ztamtego spotkania     solidnie przygotowany zespó³  wzglêdem fizycznym   wyspiarze   mocni mentalnie  wzglêdem pi³karskim    wybitny zespó³ ina  polu mieliœmy przewagê      trudne konfrontacje wiadomo  zawodnicy graj¹cy wpremier league  swoj¹ klasê iwartoœæ osobiœcie wola³em  graæ zirlandi¹ wali¹ angli¹  szkocj¹  przeciwko hiszpanom francuzom  innym dru¿ynom zpo³udnia europy  prezentuj¹ techniczny styl gryrozmawia³ marcin cholewiñski"
"interia","duda","2015-03-24 16:32:00",1,"blisko 16 mln podpisy poparcia kandydat pis  prezydent andrzej duda trafi³o  wtorek  pañstwowej komisji wybory prezes pis jaros³aw kaczynski przekonywa³  stawk¹  wybory prezydenckie  wprowadzenie  polska euro  wybory  ró¿ne aspekty      wybory wktórych stawk¹  ¿ycie polska rodzin sytuacja polska gospodarstw domowych    wgruncie rzeczy wybory oeuro    konferencji prasowej prezes piszdaniem kaczynski ubiegaj¹cy  oreelekcjê prezydent bronislaw komorowski  zdecydowanym zwolennikiem wprowadzenia euro polska prezes pis zaznaczy³  komorowski podj¹³  wtym kierunku dzia³ania min sk³adaj¹c  pocz¹tku  kadencji projektu zmiany konstytucji ws wprowadzenia euro kaczynski   zwolennikiem euro polska    niedawna amo¿e wdalszym ci¹gu przywódca  obozu politycznego  donald tusk  pamiêtamy w2008 r  wrzeœniu zapowiedzia³  euro  wprowadzone    2011   wogóle niemo¿liwe chocia¿by  wzglêdów prawnych potem  skorygowano  2012   kaczynski przeciwko euro   w2008 r ipóŸniej ipo  dzieñ jesteœmy    kandydat  prezydent andrzej duda   kaczynski zaznaczy³  duda gwarantuje  euro polska    mamy  czynienia zczymœ  najprostszym jêzykiem  okreœliæ  krêcenie  konkurenci     euro    warunków  wprowadzenia euro  bronislaw komorowski wtrakcie kampania wybory    pewno   67   wieku emerytalnego inastêpnie podpisy tê ustawê    przes³anek  wierzyæ wtego rodzaju oœwiadczenia   prezes pis   wygraj¹  wybory  zca³¹ pewnoœci¹   wszelk¹ cenê próbowaæ  euro wprowadziæ imo¿e       uda  zaznaczy³apelowa³    poparli duda  wspólnie zmieniæ polska     dopuœciæ  sytuacji   trakcie ¿ycia jednego pokolenia   raz trzeci nast¹pi³o potê¿ne uderzenie wstopê ¿yciow¹ polacy iich mo¿liwoœci finansowe i¿yciowe pierwsze  uderzenia  stan wojenny iplan balcerowicza  wyjaœni³ prezes pis  mo¿emy dopuœciæ    winteresie jakiejœ niewielkiej mniejszoœci iró¿nego rodzaju si³ zewnêtrznych  rodzaju operacja kosztem polacy kosztem polska rodzin zosta³a przeprowadzona   kaczynski   liczby podpisy kaczynski     sp³ywaj¹  traktujemy   zapowiedŸ dobrego  dobrego wyniku wybory  mówi³prezes pis   16 mln podpisy   wielki komitet wybory andrzej duda zaapelowa³  ka¿da zosób  udzieli³y poparcia duda postara³a  zmobilizowaæ przynajmniej piêæ osób spoœród rodziny znajomych s¹siadów kole¿anek ikolegów zpracy  je¿eliby   uda³o  mamy  tak¹ iloœæ g³osów  zca³¹ pewnoœci¹ zwyciê¿ymy  doda³przed konferencj¹ prasow¹ pud³a podpisy poparcia  kandydat duda ustawione wpiramidê  mia³a  t³em  przemawiaj¹cych przewróci³y   podium       tyle  skomentowa³ rzecznik pis marcin mastalerekszefowa sztabu duda beata szyd³o pis  briefingu  siedzib¹ pkw powiedzia³a  przywieziono blisko 16 mln podpisy poparcia andrzej duda   podpisy     ci¹gle p³yn¹  powiedzia³a   celem  zwyciêstwo duda wpierwszej turze wybory iw zwi¹zku ztym apelowa³a  podobnie  kaczynski   przekonaæ  g³osowania  kandydat pis przynajmniej piêæ osóbdyrektor biura prasowego kancelarii prezydent joanna trzaskawieczorek  wniedzielê  polska  spe³nia aktualnie kryteriów wymaganych  przyst¹pienia  strefy euro debata   temat  odbyæ   wybory listopadzie ub  prezydent bronislaw komorowski    tematu przyjêcia  polska europejskiej waluty nale¿y wróciæ  wybory parlamentarnych w2015 r oceni³ wówczas   polska    koñca   przygotowana"
"interia","duda","2015-03-26 20:42:00",1,"zdaniem kandydat pis  prezydent andrzej duda   stworzymy warunków  zatrzymaæ m³odych ludzi  polska  nastêpne pokolenia   rodziæ  emigracjiz polska musz¹ przestaæ wyje¿d¿aæ m³odzi ludzie  dalej  pójdzie  zprzyczyn ekonomicznych  opuszczali  kraj         ¿adnej perspektywy   pracy anawet      godnie p³atna   pewna ibezpieczna  rzeczywiœcie pañstwo polska znajdzie  wstanie g³êbokiego kryzysu   wrêcz oznaczaæ  upadek   wpoznaniu duda kandydat pis spotka³  wybory  pl adam mickiewicza  pomniku ofiar poznañskiego czerwca 1956  duda najwa¿niejszym zadaniem  prezydent iinnych w³adz  najbli¿sze lata  przywrócenie polska  drogê rozwoju gospodarczego  podkreœli³  stworzyæ warunki  osoby  wyjecha³y polska wróci³y  kraju  inaczej   wnaszym kraju nastêpnego pokolenia ipotem nastêpnego   urodzi  emigracji  zaznaczy³ kandydat pis oceni³  m³odzi wybieraj¹ emigracjê      perspektywy  za³o¿enie rodziny     mieszkanie najpierw  wynajête apotem w³asne   perspektywy  kupiæ samochód  wyjechaæ  wakacje    ¿yj¹ normalni ludzie winnych krajach europy  podkreœli³ pytany  dziennikarzy osprawê wejœcia polska  strefy euro duda zaznaczy³   punktu widzenia interesów polska spo³eczeñstwa   pojêtych   abyœmy temat euro rozwa¿ali  kiedy polska znajdzie   poziomie rozwoju gospodarczego takiego  mniej   kraje europy zachodniej powinniœmy  adam    przyjmiemy euro  nasz¹ walutê  skazujemy  prawdopodobnie  dziesiêciolecia bycia ubogim narodem wunii europejskiej ludzi  ma³o zarabiaj¹  dostaj¹ niskie œwiadczenia uwa¿am     winteresie moich rodaków imówiê   kandydat  prezydent  oœwiadczy³ duda z³o¿y³ kwiaty  pomnikiem poznañskiego czerwca 1956 razem zprzewodnicz¹cym polska regionu nszz solidarnoœæ jaros³awem lange kandydat pis rozmawia³  zosobami  przysz³y  pomnik ipozowa³  wspólnych zdjêæ popo³udniu wpoznaniu andrzej duda spotyka   œrodowiskiem akademickim iweŸmie udzia³ wkonferencji polska  polska uczeni  nauka zaproszenie  konferencjê wystosowa³ akademicki komitet honorowy andrzej duda"
"interia","duda","2015-03-27 20:42:00",1,"11 komitetów dostarczy³o  pañstwowej komisji wybory  sto tysiêcy podpisy poparcia  wybory prezydenckie chcia³y wystartowaæ 23 komitety wczoraj  pó³nocy min¹³ termin rejestracji kandydat zarejestrowa³a   pory piêciu kandydat ubiegaj¹cego  oreelekcjê bronislaw komorowski janusz korwin zpartii korwin adam jarubas zpsl muzyka kandydat niezale¿nego paw³a kukiz wilk zkongresu nowej prawicy   chwili trwa sprawdzanie kolejnych podpisy  wyjaœnia beata tokaj szefowa krajowego biura wybory wustawowym terminie  komisji zg³osi³o  11 kandydat ztego 5  zarejestrowano w2 przypadkach pkw zwróci³a  ouzupe³nienie dokumentacji aw pozosta³ych trwa liczenie  wyjaœnia tokaj duda kowalski palikot ogorek tanajno ibraun wci¹¿ wkolejce  rejestracji orejestracjê staraj¹  andrzej duda marian janusz kowalski janusz palikot magdalena ogorek pawe³ tanajno braun andrzej duda kowalski  b³êdnie wype³nione wnioski ipkw zwróci³a  ouzupe³nienie dokumentacji  wyjaœnia beata tokaj brakuje potwierdzenia wykszta³cenia  kandydat  prezydent poznamy  1 kwietnia  dodaje tokaj  pkw  powo³any zespó³ rachmistrzów   30 osób  licz¹ isprawdzaj¹ podpisy  podpisy   iczytelnie z³o¿one praca odbywa  szybciej  ocenia beata tokaj liczby stu tysiêcy podpisy  zebra³a  innymi kandydat zielonych grodzka wybory prezydenckie odbêd¹  10 maja"
