"portal","kandydat","data","nr","czy.w.tytule","dlugosc.art","ile.razy","ile.razy.wzg","waga"
"interia","duda","2015-03-16 20:26:00",1,TRUE,1067,2,0.00187441424554827,2
"interia","duda","2015-03-16 22:07:00",1,TRUE,1067,2,0.00187441424554827,2
"interia","duda","2015-03-17 00:35:00",1,TRUE,1067,2,0.00187441424554827,2
"interia","duda","2015-03-17 13:12:00",1,TRUE,1929,10,0.00518403317781234,2
"interia","duda","2015-03-18 21:15:00",1,TRUE,1343,4,0.00297840655249442,2
"interia","duda","2015-03-20 18:15:00",1,TRUE,2446,4,0.00163532297628782,2
"interia","duda","2015-03-20 20:15:00",1,TRUE,2446,4,0.00163532297628782,2
"interia","duda","2015-03-21 18:15:00",1,TRUE,4562,9,0.00197281893906182,2
"interia","duda","2015-03-22 21:32:00",1,TRUE,5255,10,0.00190294957183635,2
"interia","duda","2015-03-24 14:32:00",1,TRUE,4057,2,0.00049297510475721,2
"interia","duda","2015-03-24 16:32:00",1,TRUE,3923,10,0.0025490695895998,2
"interia","duda","2015-03-26 20:42:00",1,TRUE,2384,7,0.00293624161073826,2
"interia","duda","2015-03-27 20:42:00",1,TRUE,1482,3,0.00202429149797571,2
"interia","duda","2015-03-27 21:42:00",1,TRUE,1482,3,0.00202429149797571,2
"interia","duda","2015-03-28 22:30:00",1,TRUE,3381,9,0.00266193433895297,2
"interia","duda","2015-03-30 18:42:00",1,TRUE,5167,15,0.00290303851364428,2
"interia","duda","2015-03-30 20:42:00",1,TRUE,4542,12,0.00264200792602378,2
"interia","duda","2015-03-30 21:42:00",1,TRUE,4542,12,0.00264200792602378,2
"interia","duda","2015-03-31 14:42:00",1,TRUE,597,4,0.0067001675041876,2
"interia","duda","2015-03-31 16:42:00",1,TRUE,597,4,0.0067001675041876,2
"interia","duda","2015-04-01 14:42:00",1,TRUE,330,3,0.00909090909090909,2
"interia","duda","2015-04-01 20:42:00",1,TRUE,2105,10,0.00475059382422803,2
"interia","duda","2015-04-01 21:42:00",1,TRUE,2105,10,0.00475059382422803,2
"interia","duda","2015-04-02 14:42:00",1,TRUE,510,2,0.00392156862745098,2
"interia","grodzka","2015-03-26 14:42:00",1,TRUE,1333,3,0.00225056264066016,2
"interia","jarubas","2015-03-21 18:15:00",1,TRUE,3447,10,0.00290107339715695,2
"interia","jarubas","2015-03-21 20:15:00",1,TRUE,3447,10,0.00290107339715695,2
"interia","komorowski","2015-03-17 13:12:00",1,TRUE,3788,7,0.00184794086589229,2
"interia","komorowski","2015-03-18 16:12:00",1,TRUE,1590,3,0.00188679245283019,4
"interia","komorowski","2015-03-18 16:12:00",2,TRUE,3458,9,0.00260266049739734,2
"interia","komorowski","2015-03-18 21:15:00",1,TRUE,1866,3,0.00160771704180064,4
"interia","komorowski","2015-03-18 21:15:00",2,TRUE,1343,2,0.00148920327624721,2
"interia","komorowski","2015-03-19 18:15:00",1,TRUE,7646,5,0.000653936698927544,2
"interia","komorowski","2015-03-20 12:15:00",1,TRUE,6419,6,0.000934725035052189,2
"interia","komorowski","2015-03-21 18:15:00",1,TRUE,3546,5,0.00141003948110547,2
"interia","komorowski","2015-03-21 20:15:00",1,TRUE,5404,9,0.00166543301258327,4
